Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Hessen, 6, , 0.0795
2020-03-07, , Hessen, 6, , 0.0795
2020-03-08, , Hessen, 6, , 0.0954
2020-03-09, , Hessen, 6, , 0.0795
2020-03-10, , Hessen, 6, , 0.0636
2020-03-11, , Hessen, 6, , 0.0954
2020-03-12, , Hessen, 6, , 0.1431
2020-03-13, 0.0954, Hessen, 6, 0.0216, 0.1749
2020-03-14, 0.159, Hessen, 6, 0.036, 0.2385
2020-03-15, 0.1908, Hessen, 6, 0.0432, 0.2863
2020-03-16, 0.2544, Hessen, 6, 0.0576, 0.334
2020-03-17, 0.5407, Hessen, 6, 0.1223, 0.6043
2020-03-18, 0.7793, Hessen, 6, 0.1763, 0.8747
2020-03-19, 0.9383, Hessen, 6, 0.2122, 1.0814
2020-03-20, 1.2722, Hessen, 6, 0.2878, 1.4472
2020-03-21, 1.5108, Hessen, 6, 0.3417, 1.7493
2020-03-22, 1.7334, Hessen, 6, 0.3921, 2.0197
2020-03-23, 1.8448, Hessen, 6, 0.4173, 2.1787
2020-03-24, 1.813, Hessen, 6, 0.4101, 2.4173
2020-03-25, 1.7016, Hessen, 6, 0.3849, 2.5763
2020-03-26, 1.8925, Hessen, 6, 0.4281, 2.9739
2020-03-27, 1.9561, Hessen, 6, 0.4424, 3.4033
2020-03-28, 2.1151, Hessen, 6, 0.4784, 3.8645
2020-03-29, 2.2423, Hessen, 6, 0.5072, 4.262
2020-03-30, 2.6081, Hessen, 6, 0.5899, 4.7868
2020-03-31, 2.7671, Hessen, 6, 0.6259, 5.1844
2020-04-01, 3.1806, Hessen, 6, 0.7194, 5.7569
2020-04-02, 3.1329, Hessen, 6, 0.7086, 6.1068
2020-04-03, 2.7035, Hessen, 6, 0.6115, 6.1068
2020-04-04, 2.1946, Hessen, 6, 0.4964, 6.0591
2020-04-05, 1.9402, Hessen, 6, 0.4388, 6.2022
2020-04-06, 1.0973, Hessen, 6, 0.2482, 5.8841
2020-04-07, 0.6679, Hessen, 6, 0.1511, 5.8523
2020-04-08, 0.0795, Hessen, 6, 0.018, 5.8364
2020-04-09, -0.2385, Hessen, 6, -0.0655, 5.8682
